title,year,rating,genres,locations
Dune ,1984,6.5,"Action,Adventure","Estudios Churubusco Azteca, Mexico City, Distrito Federal, Mexico
,Samalayuca, Chihuahua, Mexico
,Yuma, Arizona, USA
,Zzyzx, California, USA
,Churubusco Studios, Mexico City, Distrito Federal, Mexico
,Pinacate and Grand Desert of Altar, Sonora, Mexico
,Puerto Penasco, Sonora, Mexico
,Altar, Sonora, Mexico
,Sierra Pinacate, Sonora, Mexico
,Arizona, USA
,Imperial County, California, USA
,USA
,California, USA
,Mexico
"
The Holy Mountain ,1973,7.9,"Adventure,Drama","Chichén Itzá, Yucatán, Mexico
,Ciudad Satélite, Mexico City, Distrito Federal, Mexico
,Gimnasio Olímpico, Mexico City, Distrito Federal, Mexico
,Isla Mujeres, Quintana Roo, Mexico
,Uxmal, Yucatán, Mexico
,Mexico
,Estudios América, Mexico City, Distrito Federal, Mexico
,La Merced, Mexico City, Distrito Federal, Mexico
,Palacio de los deportes, Mexico City, Distrito Federal, Mexico
,Parque Izta-Popo, Mexico
,Paso de Cortés, Mexico
,Preparatoria 2, Mexico City, Distrito Federal, Mexico
,Teotihuacán, San Juan Teotihuacán, Estado de México, Mexico
,Volcán Iztaccíhualt, Puebla, Mexico
,Plaza de la Constitucion, Mexico City, Distrito Federal, Mexico
,Villa de Guadalupe, Mexico City, Distrito Federal, Mexico
"
Blow ,2001,7.6,"Biography,Crime","Ontario International Airport - 2900 E. Airport Drive, Ontario, California, USA
,Whittier, California, USA
,Long Beach, California, USA
,Los Angeles, California, USA
,Manhattan Beach, California, USA
,Mexico
,Ontario, California, USA
,Palmdale, California, USA
,Pasadena, California, USA
,Spring Street Towers - 650 S. Spring Street, Downtown, Los Angeles, California, USA
,Acapulco, Guerrero, Mexico
,Bel Air, Los Angeles, California, USA
,Chicago, Illinois, USA
,918 N Alpine Dr, Beverly Hills, California, USA
,Ambassador Hotel - 3400 Wilshire Boulevard, Los Angeles, California, USA
,California, USA
,USA
"
"Honey, I Shrunk the Kids ",1989,6.4,"Adventure,Comedy","Estudios Churubusco Azteca, Mexico City, Distrito Federal, Mexico
,Mexico City, Distrito Federal, Mexico
,Vancouver, British Columbia, Canada
,Beverly Hills, California, USA
,Los Angeles, California, USA
,San Diego, California, USA
"
Fighting with My Family ,2019,7.1,"Biography,Comedy","Bracknell, Berkshire, England, UK
,Norwich, Norfolk, England, UK
,Norwich, Norfolk, England, UK
,Great Yarmouth, Norfolk, England, UK
,Santa Clarita, California, USA
,Citizens Business Bank Arena - 4000 E. Ontario Center Parkway, Ontario, California, USA
,Staples Center - 1111 S. Figueroa Street, Downtown, Los Angeles, California, USA
,Orlando, Florida, USA
,Long Beach, California, USA
"
The Witches ,2020,,"Adventure,Comedy","Surrey, England, UK
"
Dora and the Lost City of Gold ,2019,6.1,"Adventure,Comedy","Tarapoto, Peru
,Village Roadshow Studios, Oxenford, Queensland, Australia
,Lima, Peru
,Brisbane, Queensland, Australia
,Peru
,Australia
"
Sicario: Day of the Soldado ,2018,7.1,"Action,Adventure","USA
,Avenida Santa Fe 485, Cuajimalpa, Mexico City, Mexico
,Albuquerque, New Mexico, USA
,Cottonwood Mall, 10000 Coors Blvd Bypass NW, Albuquerque, New Mexico, USA
,Mexico City, Mexico
,900 Walter St SE Albuquerque, New Mexico, USA
,Mexico
,31 Av. 5 de Mayo, Mexico City
,Calle 11 Chalco de Díaz Covarrubias, Mexico
,71 República de Perú, Mexico City, Mexico
"
Predator ,1987,7.8,"Action,Adventure","Jalisco, Mexico
,Palenque, Chiapas, Mexico
,Puerto Vallarta, Jalisco, Mexico
,Sierra Madre del Sur de Oaxaca, Mexico
,Sierra Madre del Sur de Chiapas, Mexico
"
From Dusk Till Dawn ,1996,7.2,"Action,Crime","Calico Dry Lake, California, USA
,Barstow, California, USA
,Chihuahua, Mexico
,Lancaster, California, USA
,Los Angeles, California, USA
,Redmond, Washington, USA
,Seattle, Washington, USA
"
Romeo + Juliet ,1996,6.7,"Drama,Romance","Chapultepec Castle, Chapultepec Park, Mexico City, Distrito Federal, Mexico
,Alameda, California, USA
,Estudios Churubusco Azteca, Mexico City, Distrito Federal, Mexico
,Mexico City, Distrito Federal, Mexico
,Texcoco, Estado de México, Mexico
,Veracruz, Mexico
,Mexico City, Distrito Federal, Mexico
"
Silence ,2016,7.2,"Drama,History","Taiwan
,Taipei City, Taiwan
,Hualien, Taiwan
,Macau, China
,CMPC Studio, Taipei City, Taiwan
,Beitou, Taipei City, Taiwan
,Taichung, Taiwan
,Yangmingshan National Park, Taipei City, Taiwan
"
Annette ,2021,,"Drama,Musical","Münster, Germany
,Kunstmuseum, Bonn, North Rhine-Westphalia, Germany
,Dusseldorf, Germany
,Wales, UK
,MMC-Studios Cologne, Germany
,Brussels, Brussels-Capital, Belgium
"
Pan's Labyrinth ,2006,8.2,"Drama,Fantasy","El Espinar, Segovia, Castilla y León, Spain
,Segovia, Castilla y León, Spain
,Belchite, Zaragoza, Aragón, Spain
,Sierra de Guadarrama mountain range, Madrid, Spain
,Spain
,Algete, Madrid, Spain
"
Gravity ,2013,7.7,"Drama,Sci-Fi","Space
,Lake Powell, Arizona, USA
,Shepperton Studios, Shepperton, Surrey, England, UK
,Pinewood Studios, Iver Heath, Buckinghamshire, England, UK
,B Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK
,B Stage, Shepperton Studios, Shepperton, Surrey, England, UK
,C Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK
,C Stage, Shepperton Studios, Shepperton, Surrey, England, UK
,R Stage, Shepperton Studios, Shepperton, Surrey, England, UK
,S Stage, Shepperton Studios, Shepperton, Surrey, England, UK
,T Stage, Shepperton Studios, Shepperton, Surrey, England, UK
,W Stage, Shepperton Studios, Shepperton, Surrey, England, UK
"
Total Recall ,1990,7.5,"Action,Sci-Fi","Heroico Colegio Militar, Mexico City, Distrito Federal, Mexico
,Estudios Churubusco Azteca, Mexico City, Distrito Federal, Mexico
,Valley of Fire State Park - Route 169, Overton, Nevada, USA
,Subway System, Mexico City, Distrito Federal, Mexico
,Mexico City, Distrito Federal, Mexico
,Metro Chabacano, Calz. San Antonio Abad, Mexico City, Distrito Federal, Mexico
,280 Av. Barranca del Muerto, Guadalupe Inn, Mexico City, Distrito Federal, Mexico
,Glorieta de Insurgentes - Av. Insurgentes, Cuauhtémoc, Mexico City, Distrito Federal, Mexico
,Mexico
"
Mayans M.C.             ,,7.5,"Crime,Drama",
Instructions Not Included ,2013,7.5,"Comedy,Drama","Acapulco, Guerrero, Mexico
,Los Angeles, California, USA
,Nate Starkman & Son Building - 544 Mateo St, Los Angeles, California, USA
,Hollywood, California, USA
"
Stigmata ,1999,6.2,"Horror,10 September 1999 (USA)
","Pittsburgh, Pennsylvania, USA
,Eastern Columbia Building - 849 S. Broadway, Los Angeles, California, USA
,Rome, Lazio, Italy
,San Francisco, California, USA
,Vancouver, British Columbia, Canada
,Mexico
,Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA
,Los Angeles, California, USA
,Palace of Fine Arts - 3301 Lyon Street, San Francisco, California, USA
,St. Vincent Catholic Church - 621 W. Adams Blvd., Los Angeles, California, USA
,California, USA
"
Santa Sangre ,1989,7.6,"Drama,Horror","Estudios Churubusco Azteca, Mexico City, Distrito Federal, Mexico
,Mexico City, Distrito Federal, Mexico
,Mexico
"
Get the Gringo ,2012,7.0,"Action,Crime","Brownsville, Texas, USA
,Veracruz, Veracruz, Mexico
,San Diego, California, USA
,Veracruz, Mexico
,Mexico
"
The Devil's Backbone ,2001,7.4,"Drama,Horror","Talamanca del Jarama, Madrid, Spain
,Cubillo de Uceda, Guadalajara, Castilla-La Mancha, Spain
,Madrid, Spain
,Spain
"
A Walk in the Clouds ,1995,6.7,"Drama,Romance","Redwood Cellar, Charles Krug Winery - 2800 Main Street, St. Helena, Napa Valley, California, USA
,San Pedro, Los Angeles, California, USA
,Chapel Hill, North Carolina, USA
,Beringer Vineyards - 2000 Main Street, St. Helena, Napa Valley, California, USA
,Duckhorn Vineyards - 1000 Lodi Lane, St. Helena, Napa Valley, California, USA
,Haywood Vineyards - 18000 Old Winery Road, Sonoma, California, USA
,Mayacamas Vineyards - 1155 Lokoya Road, Napa, Napa Valley, California, USA
,Alverno High School - 200 North Michillinda Avenue, Sierra Madre, California, USA
,Mount Veeder Winery - 1999 Mount Veeder Road, Napa, Napa Valley, California, USA
,Napa, Napa Valley, California, USA
,Napa Valley, California, USA
,City Hall - 100 N. Garfield Avenue, Pasadena, California, USA
,California, USA
"
Someone Has to Die             ,,,"Crime,Drama",
False Identity             ,,7.3,"Drama,TV Series (2018– )
",
The Falcon and the Snowman ,1985,6.8,"Biography,Crime","Tijuana, Baja California Norte, Mexico
,Mexico City, Distrito Federal, Mexico
,Mexico
,Los Angeles, California, USA
,Via Segovia, Palos Verdes Estates, California, USA
,California, USA
,USA
"
Monsters ,2010,6.4,"Adventure,Drama","Texas, USA
,Yaxha, Maya ruins, Guatemala
,Belize
,Costa Rica
,Guatemala
,Mexico
"
Revenge ,1990,6.3,"Action,Crime","Puerto Vallarta, Jalisco, Mexico
,Sierra de Organos, Sombrerete, Zacatecas, Mexico
,Cuernavaca, Morelos, Mexico
,Durango, Mexico
,Mexico City, Distrito Federal, Mexico
,Mexico
"
Collateral Damage ,2002,5.5,"Action,Drama","La Antigua, Veracruz, Mexico
,USA
,Los Angeles, California, USA
,Union Station - 50 Massachusetts Avenue NE, Washington, District of Columbia, USA
,New York City, New York, USA
,Stage 16, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA
,Stage 20, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA
,Stage 22, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA
,Stage 7, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA
,Stage 8, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA
,Veracruz, Mexico
,Los Angeles Center Studios, Los Angeles, California, USA
"
The Treasure of the Sierra Madre ,1948,8.2,"Adventure,Drama","Tampico, Tamaulipas, Mexico
,Kernville, California, USA
,Mojave Desert, California, USA
,Tucson, Arizona, USA
,Bavispe, Sonora, Mexico
,Yuma, Arizona, USA
,Acapulco, Guerrero, Mexico
,Jungapeo, Michoacán, Mexico
,San Jose Purua, Michoacán, Mexico
,Sierra Madre del Sur, Mexico
,Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA
,Mojave Desert, Arizona, USA
,Sierra Madre Occidental, Mexico
,Sierra Madre Occidental, Sonora, Mexico
,Stage 1, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA
,Stage 6, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA
,Stage 9, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA
,Bacerac, Sonora, Mexico
,Sierra de los Ajos, Bavispe, Sonora, Mexico
,Mexico
,Tucson Mountains, Arizona, USA
"
Soy Luna             ,,6.8,"Comedy,Family","Cancún, Mexico
,Buenos Aires, Federal District, Argentina
,Palacio Sans Souci, Buenos Aires, Argentina
,Distrito Arcos, Buenos Aires, Argentina
,Villa La Joya, Cancún, Mexico
,Estudios Baires, Don Torcuato, Buenos Aires, Argentina
"
New Order ,2020,6.5,"Drama,22 October 2020 (Mexico)
",
Biutiful ,2010,7.5,"Drama,Romance","Catalonia, Spain
,Barcelona, Catalonia, Spain
,Santa Coloma de Gramanet, Barcelona, Catalonia, Spain
,Navarra, Spain
,Monte de San Donato Berain, Navarra, Spain
,Badalona, Barcelona, Catalonia, Spain
,Barri del Raval, Barcelona, Catalonia, Spain
,Sierra de Abodi, Navarra, Spain
,Spain
"
Cranston Academy: Monster Zone ,2020,4.9,"Animation,5 August 2020 (Mexico)
",
El Señor de los Cielos             ,,6.8,"Action,Crime",
Control Z             ,,6.9,"Drama,TV Series (2020– )
",
Rio Lobo ,1970,6.8,"Adventure,Romance","Old Tucson - 201 S. Kinney Road, Tucson, Arizona, USA
,Cuernavaca, Morelos, Mexico
,Tucson, Arizona, USA
,Picacho Peak State Park, Arizona, USA
,Sonoran Desert, Arizona, USA
,Sierrita Mountains, Arizona, USA
,Tucson Mountains, Arizona, USA
,Ironwood Forest National Monument, Arizona, USA
,Ruby, Arizona, USA
,Arivaca, Arizona, USA
,Tumacacori, Arizona, USA
,Bavispe, Sonora, Mexico
,Bacerac, Sonora, Mexico
"
On the Road ,2012,6.1,"Adventure,Drama","Bariloche, Río Negro, Argentina
,Patagonia, Argentina
,Calgary, Alberta, Canada
,Erie, Pennsylvania, USA
,Twenty Nine Palms, California, USA
,Phoenix, Arizona, USA
,Puebla, Mexico
,El Sobrante, San Francisco, California, USA
,Bridge City, Louisiana, USA
,Las Vegas, New Mexico, USA
,Lubbock, Texas, USA
,Utica, New York, USA
,Salaberry de Valleyfield, Québec, Canada
,Amite, Louisiana, USA
,Locke, Sacramento, California, USA
,New Orleans, Louisiana, USA
,Hull, Gatineau, Québec, Canada
,Gatineau, Québec, Canada
,Montréal, Québec, Canada
,Lexington, Kentucky, USA
,Los Angeles, California, USA
,Memphis, Tennessee, USA
,Santa Fe, New Mexico, USA
,Springville, Arkansas, USA
,Texarkana, Arkansas, USA
,Mirabel, Québec, Canada
,Nashville, Tennessee, USA
,New York City, New York, USA
,Saint-Charles, Canada
,Arlington, Arizona, USA
,Morgan City, Louisiana, USA
,Grenville sur la Rouge, Québec, Canada
,Hudson, Québec, Canada
,Hull, Québec, Canada
,Vaudreuil Dorion, Québec, Canada
,Mont-Saint-Hilaire, Québec, Canada
,Saint-Jean sur Richelieu, Québec, Canada
,USA
"
Sound of Freedom ,2020,,"Action,Drama",Not available
The Wicker Man ,2006,3.7,"Horror,Mystery","Saturna Island, British Columbia, Canada
,Merritt, British Columbia, Canada
,Vancouver, British Columbia, Canada
,Bowen Island, British Columbia, Canada
,Langley, British Columbia, Canada
,Los Angeles, California, USA
,Upper Nicola, British Columbia, Canada
,British Columbia, Canada
"
Don't Be Afraid of the Dark ,2010,5.6,"Fantasy,Horror","Mount Macedon, Victoria, Australia
,Melbourne, Victoria, Australia
,Central City Studios, Melbourne, Victoria, Australia
"
The Mexican ,2001,6.1,"Adventure,Comedy","Real de Catorce, San Luis Potosí, Mexico
,Tunnel Ogarrio, San Luis Potosí, Mexico
,Ventura Blvd., Studio City, Los Angeles, California, USA
,McCarran International Airport - 5757 Wayne Newton Boulevard, Las Vegas, Nevada, USA
,Belz Factory Outlet Mall - 7400 Las Vegas Boulevard South, Las Vegas, Nevada, USA
,Mexico
,Las Vegas, Nevada, USA
,Summerlin Parkway, Las Vegas, Nevada, USA
,Los Angeles, California, USA
"
The Bridge             ,,7.6,"Crime,Drama","El Paso, Texas, USA
,Tijuana, Baja California Norte, Mexico
,Los Angeles, California, USA
,Juarez, Mexico
"
I Still Know What You Did Last Summer ,1998,4.7,"Horror,Mystery","El Tecuan Marina Resort, Costa Careyes, Jalisco, Mexico
,Costa Careyes, Jalisco, Mexico
,Downtown, Los Angeles, California, USA
,El Tamarindo, Jalisco, Mexico
,University of Southern California, Los Angeles, California, USA
,Alumni Park - 3551 Trousdale Parkway, University of Southern California, Los Angeles, California, USA
,Exposition Park, Los Angeles, California, USA
,Gold Coast, Mexico
,Los Angeles, California, USA
,Sony Pictures Studios - 10202 W. Washington Blvd., Culver City, California, USA
,St. Cecilia's Catholic Church - 4230 Normandie Avenue, Los Angeles, California, USA
"
The House of Flowers             ,,7.7,"Comedy,Drama",
Resident Evil: Extinction ,2007,6.3,"Action,Horror","San Felipe, Baja California Norte, Mexico
,Laguna Salada, Mexicali, Baja California Norte, Mexico
,Rumorosa Pass, Mexicali, Baja California Norte, Mexico
,Churubusco Studios, Mexico City, Distrito Federal, Mexico
,Mexicali, Baja California Norte, Mexico
"
The Orphanage ,2007,7.4,"Drama,Fantasy","Llanes, Oviedo, Asturias, Spain
,Barcelona, Catalonia, Spain
,Playa de Andrín, Llanes, Asturias, Spain
"
Free Willy ,1993,6.0,"Adventure,Drama","Astoria, Oregon, USA
,Portland, Oregon, USA
,Mexico City, Distrito Federal, Mexico
,Cannon Beach, Oregon, USA
,San Juan Islands, Washington, USA
,Burnside Skatepark, Portland, Oregon, USA
,3392 Harrison Ave, Astoria, Oregon, USA
,14th St dock, Astoria, Oregon, USA
,Hammond Marina, Hammond, Oregon, USA
,Six Flags México, Mexico City, Distrito Federal, Mexico
,Ecola State Park - Highway 101, Cannon Beach, Oregon, USA
,Oaks Amusement Park - 7805 SE Oaks Park Way, Portland, Oregon, USA
,Oregon, USA
,Washington, USA
,USA
"
El juego de las llaves             ,,6.7,"Drama,Romance",
Spare Parts ,2015,7.3,"Drama,5 June 2015 (Mexico)
","Albuquerque, New Mexico, USA
"
Once Upon a Time in Mexico ,2003,6.4,"Action,Crime","San Miguel de Allende, Guanajuato, Mexico
,Guanajuato, Mexico
,Querétaro, Mexico
,Mexico
,Austin, Texas, USA
,San Antonio, Texas, USA
"
El Dragón: Return of a Warrior             ,,7.0,"Action,Adventure","Tokyo, Japan
,Miami, Florida, USA
,Mexico City, Mexico
,Madrid, Spain
"
Gringo ,2018,6.1,"Action,Comedy","Veracruz, Veracruz, Mexico
,Naperville, Illinois, USA
,Mexico City, Mexico
,Chicago, Illinois, USA
,Santa Clarita, California, USA
,Lisle, Illinois, USA
,Los Angeles, California, USA
,Tulum, Quintana Roo, Mexico
,Tulum, Mexico
,Illinois, USA
,California, USA
"
Miss Bala ,2019,5.8,"Action,Crime","Monumental Playas de Tijuana, Av. Del Pacífico 4, Tijuana, Baja California Norte, Mexico
,OMNIMAX Cinema, Centro Cultural Tijuana, Paseo de los Héroes 9350, Zona Urbana Rio Tijuana, Mexico
"
Aliens vs. Predator: Requiem ,2007,4.7,"Action,Adventure","Vancouver, British Columbia, Canada
,2283 McAllister Avenue, Port Coquitlam, British Columbia, Canada
,Coquitlam, British Columbia, Canada
,Port Coquitlam, British Columbia, Canada
,British Columbia, Canada
,Canada
,Langley, British Columbia, Canada
"
The Arrival ,1996,6.3,"Sci-Fi,Thriller","Owens Valley, California, USA
,Taxco, Guerrero, Mexico
,Tepoztlán, Estado de Morelos, Mexico
,Grove Street, Bishop, California, USA
,Tula, Hidalgo, Mexico
,1189 N Wilson Avenue, Pasadena, California, USA
,Churubusco Studios, Mexico City, Distrito Federal, Mexico
,Estudios América, Mexico City, Distrito Federal, Mexico
,Centro Nacional de las Artes, Churubusco, Mexico City, Distrito Federal, Mexico
,Owens Valley Radio Observatory, Owens Valley, California, USA
,1199 N Wilson Avenue, Pasadena, California, USA
"
Colombiana ,2011,6.4,"Action,Drama","Mexico City, Distrito Federal, Mexico
,New Orleans, Louisiana, USA
,Union Station- 225 South Canal Street, Chicago, Illinois, USA
,Wicker Park, West Town, Chicago, Illinois, USA
,Chicago, Illinois, USA
,SFP Studios, Bry sur Marne, France
"
Club Dread ,2004,5.7,"Comedy,Horror","El Tamarindo, Jalisco, Mexico
,Hotel Cabo Blanco, Jalisco, Mexico
,Mexico
"
Clear and Present Danger ,1994,6.9,"Action,Crime","Cuernavaca, Morelos, Mexico
,Mexico City, Distrito Federal, Mexico
,Tepoztlán, Morelos, Mexico
,Quito, Ecuador
,Xalapa, Veracruz, Mexico
,Paraíso 3, Barrio de San Miguel, Tepoztlán, Morelos, Mexico
,Arlington National Cemetery, Arlington, Virginia, USA
,Coatepec, Veracruz, Mexico
,Fort Huachuca, Arizona, USA
,John Wayne Airport - 18601 Airport Way, Santa Ana, California, USA
,Nellis Air Force Base, Las Vegas, Nevada, USA
,United States Coast Guard Station Los Angeles-Long Beach, San Pedro, Los Angeles, California, USA
,Santa Clarita, California, USA
,Andrews Air Force Base, Camp Springs, Maryland, USA
,CIA Headquarters, Langley, Virginia, USA
,J. Edgar Hoover FBI Building - 10th Street & Pennsylvania Avenue NW, Washington, District of Columbia, USA
,2039 New Hampshire Avenue NW, Washington, District of Columbia, USA
,Hacienda San Gabriel de las Palmas - Km 41.8 Carretera Federal Cuernavaca - Chilpancingo, Amacuzac, Morelos, Mexico
,Los Alamitos Naval Reserve Center, Los Alamitos, California, USA
,Washington, District of Columbia, USA
,White House - 1600 Pennsylvania Avenue NW, Washington, District of Columbia, USA
,2912 N Street NW, Washington, District of Columbia, USA
,Los Angeles, California, USA
,615 S Rossmore Avenue, Hancock Park, Los Angeles, California, USA
,Paramount Theatre, Paramount Studios, Hollywood, Los Angeles, California, USA
"
Conan the Destroyer ,1984,5.9,"Action,Adventure","Juarez, Mexico
,Yuma, Arizona, USA
,Churubusco Studios, Mexico City, Distrito Federal, Mexico
,Pachuca, Hidalgo, Mexico
,Samalayuca, Chihuahua, Mexico
,Coahuila, Mexico
,Bavispe, Sonora, Mexico
,Durango, Mexico
,Nevado de Toluca, Estado de México, Mexico
"
El Topo ,1970,7.4,"Drama,Western","Cañón de la Huasteca, Santa Catarina, Nuevo León, Mexico
,Grutas de Villa García, Nuevo León, Mexico
,Bavispe, Sonora, Mexico
,Samalayuca, Chihuahua, Mexico
,Durango, Mexico
,Sierra Pinacate, Sonora, Mexico
,Monterrey, Nuevo León, Mexico
,Pachuca, Hidalgo, Mexico
,San Luis Potosí, Mexico
,Torreón, Coahuíla, Mexico
,Mexico
,Mexico City, Distrito Federal, Mexico
,Estudios América, Mexico City, Distrito Federal, Mexico
,Huivulay, Mexico
,Pedriceña, Durango, Mexico
"
